Startdatum;Enddatum;Portfolioname;Währung;Kampagnen-Name;Anzeigengruppenname;Ausrichtung;Übereinstimmungstyp;Suchbegriff des Kunden;Impressionen;Klicks;Klickrate (CTR);Kosten pro Klick (CPC);Ausgaben;7 Tage, Umsatz gesamt (€);Gesamtumsatzkosten für Werbung (ACOS) ;Gesamtrendite von Werbeausgaben (Return on Advertising Spend, ROAS);7 Tage, Aufträge gesamt (#);7 Tage, Einheiten gesamt (#);7-Tage-Konversionsrate;7 Tage, Beworbene SKU-Einheiten (#);7-Tage, Andere SKU-Einheiten (#);7 Tage, Beworbene SKU-Umsätze (€);7-Tage, Andere SKU-Umsätze (€)
Apr 04, 2023;Mai 21, 2023;Not grouped;EUR;Taskha | Laptop Leder | Br/Bk |13/14 - Perpetua - SP - Manual - xbjev9ll;Ad Group EXACT Match;macbook pro 14 zoll lederhülle;EXACT;macbook pro 14 zoll lederhülle;5;2;40,0000%;€0,69;€1,37;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 11, 2023;Mai 27, 2023;Not grouped;EUR;Taskha | Laptop Leder | Br/Bk |13/14 - Perpetua - SP - Manual - xbjev9ll;Ad Group EXACT Match;laptophülle 13 zoll;EXACT;laptophülle 13 zoll;793;4;0,5044%;€1,01;€4,02;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 05, 2023;Mai 05, 2023;Not grouped;EUR;Taskha | Laptop Leder | Br/Bk |13/14 - Perpetua - SP - Manual - xbjev9ll;Ad Group EXACT Match;laptophülle 13 zoll;EXACT;laptophülle 13+ zoll;5;1;20,0000%;€0,78;€0,78;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 01, 2023;Apr 01, 2023;Not grouped;EUR;Taskha | Laptop Leder | Br/Bk |13/14 - Perpetua - SP - Manual - xbjev9ll;Ad Group PHRASE Match;laptophülle 13 zoll;PHRASE;laptophülle 13 zoll;210;2;0,9524%;€0,80;€1,59;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 02, 2023;Mai 24, 2023;Not grouped;EUR;Taskha | Laptop Leder | Br/Bk |13/14 - Perpetua - SP - Manual - xbjev9ll;Ad Group PHRASE Match;laptophülle 13 zoll;PHRASE;laptophülle 13 zoll leder;37;3;8,1081%;€0,72;€2,17;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 07, 2023;Mai 07, 2023;Not grouped;EUR;Taskha | Laptop Leder | Br/Bk |13/14 - Perpetua - SP - Manual - xbjev9ll;Ad Group PHRASE Match;laptophülle 13 zoll;PHRASE;laptophülle 13 zoll liebeskind;1;1;100,0000%;€0,68;€0,68;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 11, 2023;Mai 11, 2023;Not grouped;EUR;Taskha | Laptop Leder | Br/Bk |13/14 - Perpetua - SP - Manual - xbjev9ll;Ad Group BROAD Match;laptophülle 13 zoll;BROAD;13 zoll laptophülle;13;2;15,3846%;€0,57;€1,14;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 14, 2023;Apr 18, 2023;Not grouped;EUR;Taskha | Laptop Leder | Br/Bk |13/14 - Perpetua - SP - Manual - xbjev9ll;Ad Group BROAD Match;laptophülle 13 zoll;BROAD;laptophülle 13 3 zoll;24;2;8,3333%;€0,79;€1,58;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 13, 2023;Mai 13, 2023;Not grouped;EUR;Taskha | Laptop Leder | Br/Bk |13/14 - Perpetua - SP - Manual - xbjev9ll;Ad Group BROAD Match;laptophülle 13 zoll;BROAD;laptophülle 13 zoll dünn nachhaltig;1;1;100,0000%;€0,69;€0,69;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 29, 2023;Apr 29, 2023;Not grouped;EUR;Taskha | Laptop Leder | Br/Bk |13/14 - Perpetua - SP - Manual - xbjev9ll;Ad Group BROAD Match;laptophülle 13 zoll;BROAD;laptophülle 13+ zoll;6;1;16,6667%;€0,74;€0,74;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
