Startdatum;Enddatum;Portfolioname;Währung;Kampagnen-Name;Anzeigengruppenname;Ausrichtung;Übereinstimmungstyp;Suchbegriff des Kunden;Impressionen;Klicks;Klickrate (CTR);Kosten pro Klick (CPC);Ausgaben;7 Tage, Umsatz gesamt (€);Gesamtumsatzkosten für Werbung (ACOS) ;Gesamtrendite von Werbeausgaben (Return on Advertising Spend, ROAS);7 Tage, Aufträge gesamt (#);7 Tage, Einheiten gesamt (#);7-Tage-Konversionsrate;7 Tage, Beworbene SKU-Einheiten (#);7-Tage, Andere SKU-Einheiten (#);7 Tage, Beworbene SKU-Umsätze (€);7-Tage, Andere SKU-Umsätze (€)
Mai 11, 2023;Mai 11, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;bad deko;PHRASE;schöne bad deko edelstahl;3;1;33,3333%;€0,07;€0,07;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 12, 2023;Apr 12, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;bad deko;PHRASE;weiss marmor bad deko schale lang;1;1;100,0000%;€0,16;€0,16;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 12, 2023;Mai 12, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;bad zubehor;PHRASE;bad zubehör bank;1;1;100,0000%;€0,17;€0,17;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 13, 2023;Apr 13, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;bad zubehor;PHRASE;bad zubehör desk;1;1;100,0000%;€0,20;€0,20;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 01, 2023;Apr 01, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;bad zubehor;PHRASE;bad zubehör romantisch;4;1;25,0000%;€0,29;€0,29;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 30, 2023;Mai 30, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;bad zubehor;PHRASE;bad zubehör schilder;3;1;33,3333%;€0,20;€0,20;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 03, 2023;Apr 03, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;bad zubehor;PHRASE;bad zubehör set glas;1;1;100,0000%;€0,14;€0,14;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 09, 2023;Mai 09, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;bad zubehor;PHRASE;spiegelschrank bad zubehör;1;1;100,0000%;€0,26;€0,26;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 08, 2023;Mai 08, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;bathtub tray;PHRASE;bamboo bathtub tray;3;1;33,3333%;€0,69;€0,69;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mrz 29, 2023;Mai 29, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;bathtub tray;PHRASE;bathtub tray;1056;29;2,7462%;€0,77;€22,38;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 11, 2023;Mai 11, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;bathtub tray;PHRASE;bathtub tray acliryc;1;1;100,0000%;€0,89;€0,89;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 24, 2023;Apr 24, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;bathtub tray;PHRASE;bathtub tray birke;2;1;50,0000%;€0,78;€0,78;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 07, 2023;Mai 07, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;bathtub tray;PHRASE;bathtub tray clear;1;1;100,0000%;€0,65;€0,65;€45,37;1,4327%;69,80;1;1;100,0000%;1;0;€45,37;€0,00
Mai 16, 2023;Mai 16, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;bathtub tray;PHRASE;bathtub tray transparent;2;1;50,0000%;€0,24;€0,24;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 27, 2023;Mai 26, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;bathtub tray;PHRASE;bathtub tray waterproof;13;3;23,0769%;€0,33;€0,98;€44,53;2,2008%;45,44;1;1;33,3333%;1;0;€44,53;€0,00
Mai 05, 2023;Mai 05, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;bathtub tray;PHRASE;bathtub tray white;4;1;25,0000%;€0,55;€0,55;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 10, 2023;Mai 10, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;bathtub tray;PHRASE;white bathtub tray;6;1;16,6667%;€1,11;€1,11;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 16, 2023;Apr 17, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;deko tablett;PHRASE;deko tablett marmor;17;2;11,7647%;€0,17;€0,34;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 18, 2023;Apr 18, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;deko tablett;PHRASE;deko tablett silber;6;1;16,6667%;€0,11;€0,11;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 16, 2023;Apr 16, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;deko tablett;PHRASE;deko-tablett 0,15x0,25;2;1;50,0000%;€0,11;€0,11;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 01, 2023;Apr 01, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;badezimm deko;PHRASE;badezimmer deko beige;3;1;33,3333%;€0,16;€0,16;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 02, 2023;Apr 02, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;badezimm deko;PHRASE;badezimmer deko fischernetz;2;1;50,0000%;€0,23;€0,23;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 01, 2023;Apr 01, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;badezimm deko;PHRASE;badezimmer deko minimalist;3;1;33,3333%;€0,23;€0,23;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 01, 2023;Apr 01, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;bad accessoir;PHRASE;bad accessoires acryl;1;1;100,0000%;€0,24;€0,24;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 27, 2023;Mai 27, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;bad accessoir;PHRASE;bad accessoires gelb;3;1;33,3333%;€0,17;€0,17;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 12, 2023;Apr 12, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;bad accessoir;PHRASE;bad accessoires kokos;2;1;50,0000%;€0,20;€0,20;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 10, 2023;Apr 10, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;bad accessoir;PHRASE;bad accessoires orient;1;1;100,0000%;€0,09;€0,09;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 01, 2023;Mai 01, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;bad accessoir;PHRASE;bad accessoires wanne;1;1;100,0000%;€0,18;€0,18;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 01, 2023;Apr 01, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;bad accessoir;PHRASE;eik bad accessoires;5;1;20,0000%;€0,22;€0,22;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 19, 2023;Apr 19, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;ablag tablett;PHRASE;ablage tablett;17;1;5,8824%;€1,84;€1,84;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 27, 2023;Apr 27, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;ablag tablett;PHRASE;badezimmer ablage tablett;19;1;5,2632%;€1,27;€1,27;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 09, 2023;Mai 09, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;badewannenbrett;PHRASE;badewannenbrett plastik;1;1;100,0000%;€0,29;€0,29;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 17, 2023;Mai 17, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;badewannenbrett;PHRASE;badewannenbrett tisch;1;1;100,0000%;€0,21;€0,21;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 19, 2023;Mai 19, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;brett badewanne;PHRASE;badezimmer brett badewanne;13;1;7,6923%;€0,53;€0,53;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 26, 2023;Mai 26, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;brett badewanne;PHRASE;brett badewanne acryl;3;1;33,3333%;€0,17;€0,17;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mrz 31, 2023;Mrz 31, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;brett badewanne;PHRASE;brett badewanne holz;1;1;100,0000%;€0,15;€0,15;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 08, 2023;Mai 08, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;brett badewanne;PHRASE;brett für badewanne plastik;1;1;100,0000%;€0,36;€0,36;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 20, 2023;Apr 20, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;brett badewanne;PHRASE;brett für badewanne schwarz;1;1;100,0000%;€0,51;€0,51;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 09, 2023;Apr 09, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;brett badewanne;PHRASE;duschablage brett über badewanne;1;1;100,0000%;€0,52;€0,52;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 25, 2023;Mai 25, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;brett badewanne;PHRASE;laptop brett badewanne;4;1;25,0000%;€0,09;€0,09;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 26, 2023;Apr 26, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;brett badewanne;PHRASE;wellness brett für badewanne;1;1;100,0000%;€0,31;€0,31;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 25, 2023;Apr 25, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;badewannentisch;PHRASE;badewannentisch;20;1;5,0000%;€0,19;€0,19;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 05, 2023;Mai 05, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;badewannentisch;PHRASE;badewannentisch durchsichtig;1;1;100,0000%;€0,45;€0,45;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 15, 2023;Apr 15, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;badewannentisch;PHRASE;badewannentisch plexiglas;1;1;100,0000%;€0,03;€0,03;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 06, 2023;Mai 06, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;badewannentisch;PHRASE;badewannentisch tablet halterung;3;1;33,3333%;€0,33;€0,33;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 14, 2023;Mai 14, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;badewannenablage;PHRASE;badewannenablage tablet halterung;1;1;100,0000%;€0,14;€0,14;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mrz 30, 2023;Mrz 30, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;badezimm zubehor;PHRASE;badezimmer zubehör hygiene;3;1;33,3333%;€0,12;€0,12;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 22, 2023;Apr 22, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;badezimm zubehor;PHRASE;badezimmer zubehör set weiß;2;1;50,0000%;€0,15;€0,15;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 10, 2023;Mai 11, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;ablage badewanne;PHRASE;ablage auf badewanne;42;3;7,1429%;€0,20;€0,60;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mrz 29, 2023;Mai 21, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;ablage badewanne;PHRASE;ablage badewanne;598;11;1,8395%;€0,33;€3,60;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 01, 2023;Mai 01, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;ablage badewanne;PHRASE;ablage badewanne 110 cm;2;1;50,0000%;€0,28;€0,28;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 02, 2023;Apr 02, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;ablage badewanne;PHRASE;ablage badewanne bambus;5;1;20,0000%;€0,33;€0,33;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mrz 29, 2023;Apr 19, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;ablage badewanne;PHRASE;ablage badewanne holz;79;4;5,0633%;€0,35;€1,40;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mrz 31, 2023;Mrz 31, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;ablage badewanne;PHRASE;ablage badewanne schwarz;7;1;14,2857%;€0,53;€0,53;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 02, 2023;Apr 02, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;ablage badewanne;PHRASE;ablage badewanne verstellbar;2;1;50,0000%;€0,36;€0,36;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 25, 2023;Apr 25, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;ablage badewanne;PHRASE;ablage badewanne xxl;2;1;50,0000%;€0,27;€0,27;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 20, 2023;Mai 24, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;ablage badewanne;PHRASE;ablage für badewanne;12;4;33,3333%;€0,36;€1,43;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 24, 2023;Apr 24, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;ablage badewanne;PHRASE;ablage für badewanne stehend;1;1;100,0000%;€0,38;€0,38;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 01, 2023;Apr 01, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;ablage badewanne;PHRASE;badewanne ablage für badewanne;2;1;50,0000%;€0,37;€0,37;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 17, 2023;Apr 17, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;ablage badewanne;PHRASE;plastik ablage badewanne;15;1;6,6667%;€0,22;€0,22;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 18, 2023;Apr 18, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;tablett badewanne;PHRASE;tablett badewanne kunststoff;3;1;33,3333%;€0,18;€0,18;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 11, 2023;Mai 11, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;tablett badewanne;PHRASE;tablett badewanne plexiglas;3;1;33,3333%;€0,23;€0,23;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mrz 29, 2023;Mai 25, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;badewannentablett;PHRASE;badewannentablett;14108;49;0,3473%;€0,44;€21,55;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 02, 2023;Mai 02, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;badewannentablett;PHRASE;badewannentablett acryl;6;1;16,6667%;€0,21;€0,21;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mrz 29, 2023;Mrz 29, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;badewannentablett;PHRASE;badewannentablett acryl ausziehbar;8;1;12,5000%;€0,78;€0,78;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mrz 29, 2023;Mrz 29, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;badewannentablett;PHRASE;badewannentablett ausziehbar;27;1;3,7037%;€0,65;€0,65;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 25, 2023;Apr 25, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;badewannentablett;PHRASE;badewannentablett ausziehbar 55cm;8;1;12,5000%;€0,56;€0,56;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 04, 2023;Mai 04, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;badewannentablett;PHRASE;badewannentablett blau;1;1;100,0000%;€0,44;€0,44;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 14, 2023;Apr 14, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;badewannentablett;PHRASE;badewannentablett breit;2;1;50,0000%;€0,38;€0,38;€43,69;0,8698%;114,97;1;1;100,0000%;0;1;€0,00;€43,69
Apr 05, 2023;Apr 05, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;badewannentablett;PHRASE;badewannentablett glas;10;1;10,0000%;€0,50;€0,50;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 22, 2023;Mai 22, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;badewannentablett;PHRASE;badewannentablett grau;10;1;10,0000%;€0,45;€0,45;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 26, 2023;Apr 26, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;badewannentablett;PHRASE;badewannentablett kunststoff;24;1;4,1667%;€0,22;€0,22;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 20, 2023;Mai 20, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;badewannentablett;PHRASE;badewannentablett kunststoff ausziehbar;4;1;25,0000%;€0,30;€0,30;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 11, 2023;Mai 11, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;badewannentablett;PHRASE;badewannentablett metall;2;1;50,0000%;€0,26;€0,26;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 24, 2023;Mai 25, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;badewannentablett;PHRASE;badewannentablett plexiglas;6;2;33,3333%;€0,18;€0,35;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 03, 2023;Apr 03, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;badewannentablett;PHRASE;badewannentablett wasserfest;3;1;33,3333%;€0,55;€0,55;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 05, 2023;Apr 05, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;badewannentablett;PHRASE;badewannentablett weiss;24;2;8,3333%;€0,52;€1,04;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 03, 2023;Apr 25, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;badewannentablett;PHRASE;badewannentablett weiß;16;3;18,7500%;€0,61;€1,82;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 11, 2023;Mai 11, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;badewanne zubehör;PHRASE;badewanne zubehör romantik;3;1;33,3333%;€0,27;€0,27;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 22, 2023;Mai 21, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;badewannen ablagen;PHRASE;badewanne ablage;136;5;3,6765%;€0,31;€1,57;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 07, 2023;Apr 07, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;badewannen ablagen;PHRASE;badewanne ablage ecke;4;1;25,0000%;€0,35;€0,35;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 06, 2023;Mai 06, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;badewannen ablagen;PHRASE;badewanne ablage metall;2;1;50,0000%;€0,30;€0,30;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 23, 2023;Apr 23, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;badewannen ablagen;PHRASE;badewanne ablage schwarz;4;1;25,0000%;€0,30;€0,30;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 12, 2023;Mai 12, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;badewannen ablagen;PHRASE;badewannen ablage;5;1;20,0000%;€0,21;€0,21;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 07, 2023;Mai 11, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;badewannen ablagen;PHRASE;badewannen ablagen;912;13;1,4254%;€0,30;€3,88;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 21, 2023;Apr 21, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;badewannen ablagen;PHRASE;badewannen ablagen 23x76;1;1;100,0000%;€0,36;€0,36;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 15, 2023;Apr 15, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;badewannenablage glas;PHRASE;badewannenablage aus glas;43;1;2,3256%;€0,11;€0,11;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
